transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
04/02/2025 06:00:00 PM,subway,477,72 St (Q),Manhattan,omny,OMNY - Other,5,0,40.7688,-73.95843,POINT (-73.95843 40.7688)
04/02/2025 09:00:00 PM,subway,56,Ocean Pkwy (Q),Brooklyn,omny,OMNY - Full Fare,20,1,40.576313,-73.9685,POINT (-73.9685 40.576313)
04/02/2025 06:00:00 AM,subway,270,"46 St (M,R)",Queens,omny,OMNY - Fair Fare,2,0,40.756313,-73.91333,POINT (-73.91333 40.756313)
04/02/2025 06:00:00 AM,subway,69,25 Av (D),Brooklyn,omny,OMNY - Full Fare,104,8,40.597706,-73.98683,POINT (-73.98683 40.597706)
04/02/2025 07:00:00 AM,subway,181,"Utica Av (A,C)",Brooklyn,omny,OMNY - Other,6,1,40.679363,-73.93073,POINT (-73.93073 40.679363)
04/02/2025 07:00:00 AM,subway,347,Saratoga Av (3),Brooklyn,omny,OMNY - Full Fare,315,8,40.661453,-73.91633,POINT (-73.91633 40.661453)
04/02/2025 08:00:00 AM,subway,218,"167 St (B,D)",Bronx,omny,OMNY - Students,130,4,40.83377,-73.91844,POINT (-73.91844 40.83377)
04/02/2025 08:00:00 AM,subway,75,20 Av (N),Brooklyn,omny,OMNY - Fair Fare,13,0,40.61741,-73.98502,POINT (-73.98502 40.61741)
04/02/2025 09:00:00 AM,subway,122,Graham Av (L),Brooklyn,omny,OMNY - Other,1,0,40.714565,-73.94405,POINT (-73.94405 40.714565)
04/02/2025 09:00:00 AM,subway,130,Wilson Av (L),Brooklyn,omny,OMNY - Students,20,3,40.688763,-73.904045,POINT (-73.904045 40.688763)
04/02/2025 09:00:00 AM,subway,191,88 St (A),Queens,omny,OMNY - Other,2,0,40.679844,-73.85147,POINT (-73.85147 40.679844)
